Type,Name,Max Volume C3 m,Max Weight Kg,Max working Hours,Fixed Cost,Per Km Cost
1,Bolero_Max,16,2000,11,3800,20
2,Bolero_Max,16,2000,11,3800,20
3,Bolero_Max,16,2000,11,3800,20
4,Bolero_Max,16,2000,11,3800,20
5,Bolero_Max,16,2000,11,3800,20
6,Bolero_Max,16,2000,11,3800,20
7,Bolero,12,1500,10,3200,20
8,Bolero,12,1500,10,3200,20
9,Bolero,12,1500,10,3200,20
10,Bolero,12,1500,10,3200,20
11,Bolero,12,1500,10,3200,20
12,Bolero,12,1500,10,3200,20
13,Pickup,10,1200,9.5,2500,18
14,Pickup,10,1200,9.5,2500,18
15,Pickup,10,1200,9.5,2500,18
16,Pickup,10,1200,9.5,2500,18
17,Pickup,10,1200,9.5,2500,18
18,Pickup,10,1200,9.5,2500,18
19,Chhota_Hathi,8,1000,9,2100,15
20,Chhota_Hathi,8,1000,9,2100,15
21,Chhota_Hathi,8,1000,9,2100,15
22,Chhota_Hathi,8,1000,9,2100,15
23,Chhota_Hathi,8,1000,9,2100,15
24,Chhota_Hathi,8,1000,9,2100,15
