Type,Name,Max Volume C3 m,Max Weight Kg,Max working Hours,Fixed Cost,Per Km Cost
1,Bolero_Max,16,2000,11,3800,20
2,Bolero,12,1500,10,3200,20
3,Pickup,10,1200,9.5,2500,18
4,Chhota_Hathi,8,1000,9,2100,15
5,Bolero_Max,16,2000,11,3800,20
6,Bolero,12,1500,10,3200,20
7,Pickup,10,1200,9.5,2500,18
8,Chhota_Hathi,8,1000,9,2100,15
9,Bolero_Max,16,2000,11,3800,20
10,Bolero,12,1500,10,3200,20
11,Pickup,10,1200,9.5,2500,18
12,Chhota_Hathi,8,1000,9,2100,15
13,Bolero_Max,16,2000,11,3800,20
14,Bolero,12,1500,10,3200,20
15,Pickup,10,1200,9.5,2500,18
16,Chhota_Hathi,8,1000,9,2100,15
17,Bolero_Max,16,2000,11,3800,20
18,Bolero,12,1500,10,3200,20
19,Pickup,10,1200,9.5,2500,18
20,Chhota_Hathi,8,1000,9,2100,15
21,Bolero_Max,16,2000,11,3800,20
22,Bolero,12,1500,10,3200,20
23,Pickup,10,1200,9.5,2500,18
24,Chhota_Hathi,8,1000,9,2100,15
25,Bolero_Max,16,2000,11,3800,20
26,Bolero,12,1500,10,3200,20
27,Pickup,10,1200,9.5,2500,18
28,Chhota_Hathi,8,1000,9,2100,15
29,Bolero_Max,16,2000,11,3800,20
30,Bolero,12,1500,10,3200,20
31,Pickup,10,1200,9.5,2500,18
32,Chhota_Hathi,8,1000,9,2100,15
33,Bolero_Max,16,2000,11,3800,20
34,Bolero,12,1500,10,3200,20
35,Pickup,10,1200,9.5,2500,18
36,Chhota_Hathi,8,1000,9,2100,15
37,Bolero_Max,16,2000,11,3800,20
38,Bolero,12,1500,10,3200,20
39,Pickup,10,1200,9.5,2500,18
40,Chhota_Hathi,8,1000,9,2100,15
41,Bolero_Max,16,2000,11,3800,20
42,Bolero,12,1500,10,3200,20
43,Pickup,10,1200,9.5,2500,18
44,Chhota_Hathi,8,1000,9,2100,15
45,Bolero_Max,16,2000,11,3800,20
46,Bolero,12,1500,10,3200,20
47,Pickup,10,1200,9.5,2500,18
48,Chhota_Hathi,8,1000,9,2100,15
49,Bolero_Max,16,2000,11,3800,20
50,Bolero,12,1500,10,3200,20
51,Pickup,10,1200,9.5,2500,18
52,Chhota_Hathi,8,1000,9,2100,15
53,Bolero_Max,16,2000,11,3800,20
54,Bolero,12,1500,10,3200,20
55,Pickup,10,1200,9.5,2500,18
56,Chhota_Hathi,8,1000,9,2100,15
57,Bolero_Max,16,2000,11,3800,20
58,Bolero,12,1500,10,3200,20
59,Pickup,10,1200,9.5,2500,18
60,Chhota_Hathi,8,1000,9,2100,15
61,Bolero_Max,16,2000,11,3800,20
62,Bolero,12,1500,10,3200,20
63,Pickup,10,1200,9.5,2500,18
64,Chhota_Hathi,8,1000,9,2100,15
65,Bolero_Max,16,2000,11,3800,20
66,Bolero,12,1500,10,3200,20
67,Pickup,10,1200,9.5,2500,18
68,Chhota_Hathi,8,1000,9,2100,15
69,Bolero_Max,16,2000,11,3800,20
70,Bolero,12,1500,10,3200,20
71,Pickup,10,1200,9.5,2500,18
72,Chhota_Hathi,8,1000,9,2100,15
73,Bolero_Max,16,2000,11,3800,20
74,Bolero,12,1500,10,3200,20
75,Pickup,10,1200,9.5,2500,18
76,Chhota_Hathi,8,1000,9,2100,15
77,Bolero_Max,16,2000,11,3800,20
78,Bolero,12,1500,10,3200,20
79,Pickup,10,1200,9.5,2500,18
80,Chhota_Hathi,8,1000,9,2100,15
81,Bolero_Max,16,2000,11,3800,20
82,Bolero,12,1500,10,3200,20
83,Pickup,10,1200,9.5,2500,18
84,Chhota_Hathi,8,1000,9,2100,15
85,Bolero_Max,16,2000,11,3800,20
86,Bolero,12,1500,10,3200,20
87,Pickup,10,1200,9.5,2500,18
88,Chhota_Hathi,8,1000,9,2100,15
89,Bolero_Max,16,2000,11,3800,20
90,Bolero,12,1500,10,3200,20
91,Pickup,10,1200,9.5,2500,18
92,Chhota_Hathi,8,1000,9,2100,15
93,Bolero_Max,16,2000,11,3800,20
94,Bolero,12,1500,10,3200,20
95,Pickup,10,1200,9.5,2500,18
96,Chhota_Hathi,8,1000,9,2100,15
97,Bolero_Max,16,2000,11,3800,20
98,Bolero,12,1500,10,3200,20
99,Pickup,10,1200,9.5,2500,18
100,Chhota_Hathi,8,1000,9,2100,15
101,Bolero_Max,16,2000,11,3800,20
102,Bolero,12,1500,10,3200,20
103,Pickup,10,1200,9.5,2500,18
104,Chhota_Hathi,8,1000,9,2100,15
105,Bolero_Max,16,2000,11,3800,20
106,Bolero,12,1500,10,3200,20
107,Pickup,10,1200,9.5,2500,18
108,Chhota_Hathi,8,1000,9,2100,15
109,Bolero_Max,16,2000,11,3800,20
110,Bolero,12,1500,10,3200,20
111,Pickup,10,1200,9.5,2500,18
112,Chhota_Hathi,8,1000,9,2100,15
113,Bolero_Max,16,2000,11,3800,20
114,Bolero,12,1500,10,3200,20
115,Pickup,10,1200,9.5,2500,18
116,Chhota_Hathi,8,1000,9,2100,15
117,Bolero_Max,16,2000,11,3800,20
118,Bolero,12,1500,10,3200,20
119,Pickup,10,1200,9.5,2500,18
120,Chhota_Hathi,8,1000,9,2100,15
121,Bolero_Max,16,2000,11,3800,20
122,Bolero,12,1500,10,3200,20
123,Pickup,10,1200,9.5,2500,18
124,Chhota_Hathi,8,1000,9,2100,15
125,Bolero_Max,16,2000,11,3800,20
126,Bolero,12,1500,10,3200,20
127,Pickup,10,1200,9.5,2500,18
128,Chhota_Hathi,8,1000,9,2100,15
129,Bolero_Max,16,2000,11,3800,20
130,Bolero,12,1500,10,3200,20
131,Pickup,10,1200,9.5,2500,18
132,Chhota_Hathi,8,1000,9,2100,15
133,Bolero_Max,16,2000,11,3800,20
134,Bolero,12,1500,10,3200,20
135,Pickup,10,1200,9.5,2500,18
136,Chhota_Hathi,8,1000,9,2100,15
137,Bolero_Max,16,2000,11,3800,20
138,Bolero,12,1500,10,3200,20
139,Pickup,10,1200,9.5,2500,18
140,Chhota_Hathi,8,1000,9,2100,15
141,Bolero_Max,16,2000,11,3800,20
142,Bolero,12,1500,10,3200,20
143,Pickup,10,1200,9.5,2500,18
144,Chhota_Hathi,8,1000,9,2100,15
145,Bolero_Max,16,2000,11,3800,20
146,Bolero,12,1500,10,3200,20
147,Pickup,10,1200,9.5,2500,18
148,Chhota_Hathi,8,1000,9,2100,15
149,Bolero_Max,16,2000,11,3800,20
150,Bolero,12,1500,10,3200,20
151,Pickup,10,1200,9.5,2500,18
152,Chhota_Hathi,8,1000,9,2100,15
153,Bolero_Max,16,2000,11,3800,20
154,Bolero,12,1500,10,3200,20
155,Pickup,10,1200,9.5,2500,18
156,Chhota_Hathi,8,1000,9,2100,15
157,Bolero_Max,16,2000,11,3800,20
158,Bolero,12,1500,10,3200,20
159,Pickup,10,1200,9.5,2500,18
160,Chhota_Hathi,8,1000,9,2100,15
161,Bolero_Max,16,2000,11,3800,20
162,Bolero,12,1500,10,3200,20
163,Pickup,10,1200,9.5,2500,18
164,Chhota_Hathi,8,1000,9,2100,15
165,Bolero_Max,16,2000,11,3800,20
166,Bolero,12,1500,10,3200,20
167,Pickup,10,1200,9.5,2500,18
168,Chhota_Hathi,8,1000,9,2100,15
169,Bolero_Max,16,2000,11,3800,20
170,Bolero,12,1500,10,3200,20
171,Pickup,10,1200,9.5,2500,18
172,Chhota_Hathi,8,1000,9,2100,15
173,Bolero_Max,16,2000,11,3800,20
174,Bolero,12,1500,10,3200,20
175,Pickup,10,1200,9.5,2500,18
176,Chhota_Hathi,8,1000,9,2100,15
177,Bolero_Max,16,2000,11,3800,20
178,Bolero,12,1500,10,3200,20
179,Pickup,10,1200,9.5,2500,18
180,Chhota_Hathi,8,1000,9,2100,15
181,Bolero_Max,16,2000,11,3800,20
182,Bolero,12,1500,10,3200,20
183,Pickup,10,1200,9.5,2500,18
184,Chhota_Hathi,8,1000,9,2100,15
185,Bolero_Max,16,2000,11,3800,20
186,Bolero,12,1500,10,3200,20
187,Pickup,10,1200,9.5,2500,18
188,Chhota_Hathi,8,1000,9,2100,15
189,Bolero_Max,16,2000,11,3800,20
190,Bolero,12,1500,10,3200,20
191,Pickup,10,1200,9.5,2500,18
192,Chhota_Hathi,8,1000,9,2100,15
193,Bolero_Max,16,2000,11,3800,20
194,Bolero,12,1500,10,3200,20
195,Pickup,10,1200,9.5,2500,18
196,Chhota_Hathi,8,1000,9,2100,15
197,Bolero_Max,16,2000,11,3800,20
198,Bolero,12,1500,10,3200,20
199,Pickup,10,1200,9.5,2500,18
200,Chhota_Hathi,8,1000,9,2100,15
201,Bolero_Max,16,2000,11,3800,20
202,Bolero,12,1500,10,3200,20
203,Pickup,10,1200,9.5,2500,18
204,Chhota_Hathi,8,1000,9,2100,15
205,Bolero_Max,16,2000,11,3800,20
206,Bolero,12,1500,10,3200,20
207,Pickup,10,1200,9.5,2500,18
208,Chhota_Hathi,8,1000,9,2100,15
209,Bolero_Max,16,2000,11,3800,20
210,Bolero,12,1500,10,3200,20
211,Pickup,10,1200,9.5,2500,18
212,Chhota_Hathi,8,1000,9,2100,15
213,Bolero_Max,16,2000,11,3800,20
214,Bolero,12,1500,10,3200,20
215,Pickup,10,1200,9.5,2500,18
216,Chhota_Hathi,8,1000,9,2100,15
217,Bolero_Max,16,2000,11,3800,20
218,Bolero,12,1500,10,3200,20
219,Pickup,10,1200,9.5,2500,18
220,Chhota_Hathi,8,1000,9,2100,15
221,Bolero_Max,16,2000,11,3800,20
222,Bolero,12,1500,10,3200,20
223,Pickup,10,1200,9.5,2500,18
224,Chhota_Hathi,8,1000,9,2100,15
225,Bolero_Max,16,2000,11,3800,20
226,Bolero,12,1500,10,3200,20
227,Pickup,10,1200,9.5,2500,18
228,Chhota_Hathi,8,1000,9,2100,15
229,Bolero_Max,16,2000,11,3800,20
230,Bolero,12,1500,10,3200,20
231,Pickup,10,1200,9.5,2500,18
232,Chhota_Hathi,8,1000,9,2100,15
233,Bolero_Max,16,2000,11,3800,20
234,Bolero,12,1500,10,3200,20
235,Pickup,10,1200,9.5,2500,18
236,Chhota_Hathi,8,1000,9,2100,15
237,Bolero_Max,16,2000,11,3800,20
238,Bolero,12,1500,10,3200,20
239,Pickup,10,1200,9.5,2500,18
240,Chhota_Hathi,8,1000,9,2100,15
